year,avg_temp,global_moving_avg
1750,8.72,8.7200000000000000
1751,7.98,8.3500000000000000
1752,5.78,7.4933333333333333
1753,8.39,7.7175000000000000
1754,8.47,7.8680000000000000
1755,8.36,7.7960000000000000
1756,8.85,7.9700000000000000
1757,9.02,8.6180000000000000
1758,6.74,8.2880000000000000
1759,7.99,8.1920000000000000
1760,7.19,7.9580000000000000
1761,8.77,7.9420000000000000
1762,8.61,7.8600000000000000
1763,7.50,8.0120000000000000
1764,8.40,8.0940000000000000
1765,8.25,8.3060000000000000
1766,8.41,8.2340000000000000
1767,8.22,8.1560000000000000
1768,6.78,8.0120000000000000
1769,7.69,7.8700000000000000
1770,7.69,7.7580000000000000
1771,7.85,7.6460000000000000
1772,8.19,7.6400000000000000
1773,8.22,7.9280000000000000
1774,8.77,8.1440000000000000
1775,9.18,8.4420000000000000
1776,8.30,8.5320000000000000
1777,8.26,8.5460000000000000
1778,8.54,8.6100000000000000
1779,8.98,8.6520000000000000
1780,9.43,8.7020000000000000
1781,8.10,8.6620000000000000
1782,7.90,8.5900000000000000
1783,7.68,8.4180000000000000
1784,7.86,8.1940000000000000
1785,7.36,7.7800000000000000
1786,8.26,7.8120000000000000
1787,8.03,7.8380000000000000
1788,8.45,7.9920000000000000
1789,8.33,8.0860000000000000
1790,7.98,8.2100000000000000
1791,8.23,8.2040000000000000
1792,8.09,8.2160000000000000
1793,8.23,8.1720000000000000
1794,8.53,8.2120000000000000
1795,8.35,8.2860000000000000
1796,8.27,8.2940000000000000
1797,8.51,8.3780000000000000
1798,8.67,8.4660000000000000
1799,8.51,8.4620000000000000
1800,8.48,8.4880000000000000
1801,8.59,8.5520000000000000
1802,8.58,8.5660000000000000
1803,8.50,8.5320000000000000
1804,8.84,8.5980000000000000
1805,8.56,8.6140000000000000
1806,8.43,8.5820000000000000
1807,8.28,8.5220000000000000
1808,7.63,8.3480000000000000
1809,7.08,7.9960000000000000
1810,6.92,7.6680000000000000
1811,6.86,7.3540000000000000
1812,7.05,7.1080000000000000
1813,7.74,7.1300000000000000
1814,7.59,7.2320000000000000
1815,7.24,7.2960000000000000
1816,6.94,7.3120000000000000
1817,6.98,7.2980000000000000
1818,7.83,7.3160000000000000
1819,7.37,7.2720000000000000
1820,7.62,7.3480000000000000
1821,8.09,7.5780000000000000
1822,8.19,7.8200000000000000
1823,7.72,7.7980000000000000
1824,8.55,8.0340000000000000
1825,8.39,8.1880000000000000
1826,8.36,8.2420000000000000
1827,8.81,8.3660000000000000
1828,8.17,8.4560000000000000
1829,7.94,8.3340000000000000
1830,8.52,8.3600000000000000
1831,7.64,8.2160000000000000
1832,7.45,7.9440000000000000
1833,8.01,7.9120000000000000
1834,8.15,7.9540000000000000
1835,7.39,7.7280000000000000
1836,7.70,7.7400000000000000
1837,7.38,7.7260000000000000
1838,7.51,7.6260000000000000
1839,7.63,7.5220000000000000
1840,7.80,7.6040000000000000
1841,7.69,7.6020000000000000
1842,8.02,7.7300000000000000
1843,8.17,7.8620000000000000
1844,7.65,7.8660000000000000
1845,7.85,7.8760000000000000
1846,8.55,8.0480000000000000
1847,8.09,8.0620000000000000
1848,7.98,8.0240000000000000
1849,7.98,8.0900000000000000
1850,7.90,8.1000000000000000
1851,8.18,8.0260000000000000
1852,8.10,8.0280000000000000
1853,8.04,8.0400000000000000
1854,8.21,8.0860000000000000
1855,8.11,8.1280000000000000
1856,8.00,8.0920000000000000
1857,7.76,8.0240000000000000
1858,8.10,8.0360000000000000
1859,8.25,8.0440000000000000
1860,7.96,8.0140000000000000
1861,7.85,7.9840000000000000
1862,7.56,7.9440000000000000
1863,8.11,7.9460000000000000
1864,7.98,7.8920000000000000
1865,8.18,7.9360000000000000
1866,8.29,8.0240000000000000
1867,8.44,8.2000000000000000
1868,8.25,8.2280000000000000
1869,8.43,8.3180000000000000
1870,8.20,8.3220000000000000
1871,8.12,8.2880000000000000
1872,8.19,8.2380000000000000
1873,8.35,8.2580000000000000
1874,8.43,8.2580000000000000
1875,7.86,8.1900000000000000
1876,8.08,8.1820000000000000
1877,8.54,8.2520000000000000
1878,8.83,8.3480000000000000
1879,8.17,8.2960000000000000
1880,8.12,8.3480000000000000
1881,8.27,8.3860000000000000
1882,8.13,8.3040000000000000
1883,7.98,8.1340000000000000
1884,7.77,8.0540000000000000
1885,7.92,8.0140000000000000
1886,7.95,7.9500000000000000
1887,7.91,7.9060000000000000
1888,8.09,7.9280000000000000
1889,8.32,8.0380000000000000
1890,7.97,8.0480000000000000
1891,8.02,8.0620000000000000
1892,8.07,8.0940000000000000
1893,8.06,8.0880000000000000
1894,8.16,8.0560000000000000
1895,8.15,8.0920000000000000
1896,8.21,8.1300000000000000
1897,8.29,8.1740000000000000
1898,8.18,8.1980000000000000
1899,8.40,8.2460000000000000
1900,8.50,8.3160000000000000
1901,8.54,8.3820000000000000
1902,8.30,8.3840000000000000
1903,8.22,8.3920000000000000
1904,8.09,8.3300000000000000
1905,8.23,8.2760000000000000
1906,8.38,8.2440000000000000
1907,7.95,8.1740000000000000
1908,8.19,8.1680000000000000
1909,8.18,8.1860000000000000
1910,8.22,8.1840000000000000
1911,8.18,8.1440000000000000
1912,8.17,8.1880000000000000
1913,8.30,8.2100000000000000
1914,8.59,8.2920000000000000
1915,8.59,8.3660000000000000
1916,8.23,8.3760000000000000
1917,8.02,8.3460000000000000
1918,8.13,8.3120000000000000
1919,8.38,8.2700000000000000
1920,8.36,8.2240000000000000
1921,8.57,8.2920000000000000
1922,8.41,8.3700000000000000
1923,8.42,8.4280000000000000
1924,8.51,8.4540000000000000
1925,8.53,8.4880000000000000
1926,8.73,8.5200000000000000
1927,8.52,8.5420000000000000
1928,8.63,8.5840000000000000
1929,8.24,8.5300000000000000
1930,8.63,8.5500000000000000
1931,8.72,8.5480000000000000
1932,8.71,8.5860000000000000
1933,8.34,8.5280000000000000
1934,8.63,8.6060000000000000
1935,8.52,8.5840000000000000
1936,8.55,8.5500000000000000
1937,8.70,8.5480000000000000
1938,8.86,8.6520000000000000
1939,8.76,8.6780000000000000
1940,8.76,8.7260000000000000
1941,8.77,8.7700000000000000
1942,8.73,8.7760000000000000
1943,8.76,8.7560000000000000
1944,8.85,8.7740000000000000
1945,8.58,8.7380000000000000
1946,8.68,8.7200000000000000
1947,8.80,8.7340000000000000
1948,8.75,8.7320000000000000
1949,8.59,8.6800000000000000
1950,8.37,8.6380000000000000
1951,8.63,8.6280000000000000
1952,8.64,8.5960000000000000
1953,8.87,8.6200000000000000
1954,8.56,8.6140000000000000
1955,8.63,8.6660000000000000
1956,8.28,8.5960000000000000
1957,8.73,8.6140000000000000
1958,8.77,8.5940000000000000
1959,8.73,8.6280000000000000
1960,8.58,8.6180000000000000
1961,8.80,8.7220000000000000
1962,8.75,8.7260000000000000
1963,8.86,8.7440000000000000
1964,8.41,8.6800000000000000
1965,8.53,8.6700000000000000
1966,8.60,8.6300000000000000
1967,8.70,8.6200000000000000
1968,8.52,8.5520000000000000
1969,8.60,8.5900000000000000
1970,8.70,8.6240000000000000
1971,8.60,8.6240000000000000
1972,8.50,8.5840000000000000
1973,8.95,8.6700000000000000
1974,8.47,8.6440000000000000
1975,8.74,8.6520000000000000
1976,8.35,8.6020000000000000
1977,8.85,8.6720000000000000
1978,8.69,8.6200000000000000
1979,8.73,8.6720000000000000
1980,8.98,8.7200000000000000
1981,9.17,8.8840000000000000
1982,8.64,8.8420000000000000
1983,9.03,8.9100000000000000
1984,8.69,8.9020000000000000
1985,8.66,8.8380000000000000
1986,8.83,8.7700000000000000
1987,8.99,8.8400000000000000
1988,9.20,8.8740000000000000
1989,8.92,8.9200000000000000
1990,9.23,9.0340000000000000
1991,9.18,9.1040000000000000
1992,8.84,9.0740000000000000
1993,8.87,9.0080000000000000
1994,9.04,9.0320000000000000
1995,9.35,9.0560000000000000
1996,9.04,9.0280000000000000
1997,9.20,9.1000000000000000
1998,9.52,9.2300000000000000
1999,9.29,9.2800000000000000
2000,9.20,9.2500000000000000
2001,9.41,9.3240000000000000
2002,9.57,9.3980000000000000
2003,9.53,9.4000000000000000
2004,9.32,9.4060000000000000
2005,9.70,9.5060000000000000
2006,9.53,9.5300000000000000
2007,9.73,9.5620000000000000
2008,9.43,9.5420000000000000
2009,9.51,9.5800000000000000
2010,9.70,9.5800000000000000
2011,9.52,9.5780000000000000
2012,9.51,9.5340000000000000
2013,9.61,9.5700000000000000
2014,9.57,9.5820000000000000
2015,9.83,9.6080000000000000
